지점,지점명,일시,평균기온(°C),평균최고기온(°C),최고기온(°C),평균최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온(°C),최저기온 나타난날(yyyymmdd),평균 풍속(m/s),최대 순간 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간 풍속 나타난날(yyyymmdd),강수량합(mm)
116,관악산,2015,10.3,14.3,31.7,7.1,20150711,-16.2,20150208,3,22.6,334.7,20151001,842
116,관악산,2016,10.2,14.2,31.6,7,20160805,-21.5,20160124,3.1,27.1,241.9,20160503,1107.5
116,관악산,2017,,,31.1,,20170805,-16.5,20171212,,23,19.7,20170412,1170
116,관악산,2018,8.9,12.8,34.3,5.8,20180801,-22.9,20180126,3.2,27.7,225,20180410,1280
116,관악산,2019,9.7,13.5,32.5,6.5,20190806,-15.2,20191231,3.1,33.3,140.6,20190907,1002.5
116,관악산,2020,9.3,13.2,30.7,6.2,20200825,-17.8,20201230,3.2,30.8,340.3,20200903,1617.5
400,강남구,2015,14.3,18.6,35.5,10.6,20150711,-11.1,20150208,1.7,18.1,,20150603,818
400,강남구,2016,14.5,18.8,36.4,10.8,20160805,-16.5,20160124,1.7,16.5,295.3,20160504,1005.5
400,강남구,2017,13.7,18,37.2,10,20170805,-11.3,20171212,1.7,21.9,,20171219,1246
400,강남구,2018,13.7,17.9,40,10,20180801,-17,20180126,1.6,16.1,208.1,20180410,1312.5
400,강남구,2019,,,37.7,,20190806,-9.6,20191231,,13.3,222.2,20190330,981.5
400,강남구,2020,13.9,19,36.2,9.5,20200622,-11.8,20201230,1.3,13.4,281.3,20200319,1674
401,강남대로,2015,14.4,19.3,37.1,10.4,20150807,-10.8,20150208,1.3,10.2,241.9,20150402,825
401,강남대로,2016,14.7,19.6,38.9,10.6,20160811,-16.1,20160124,1.3,12.4,278.4,20160504,992
401,강남대로,2017,13.5,18.5,36.5,8.8,20170805,-11.1,20171214,1.6,10.6,306.6,20170306,1198.5
401,강남대로,2018,13.3,18.3,41.1,8.8,20180801,-17,20180126,1.5,12.3,202.5,20180410,1264
